Time and Date, temperature (ºC), temperature (ºF), humidity (%), pressure (hPa)
13:30:47 22/09/2024, 26.67, 80.01, 54.33, 1003.43
13:30:52 22/09/2024, 26.67, 80.00, 54.26, 1003.51
13:30:57 22/09/2024, 26.65, 79.96, 54.18, 1003.53
13:31:02 22/09/2024, 26.68, 80.02, 54.33, 1003.59
13:31:08 22/09/2024, 26.71, 80.07, 54.21, 1003.41
13:31:13 22/09/2024, 26.69, 80.04, 53.99, 1003.57
13:31:18 22/09/2024, 26.65, 79.97, 53.81, 1003.51
13:31:24 22/09/2024, 26.63, 79.93, 53.83, 1003.48
13:31:29 22/09/2024, 26.62, 79.91, 54.09, 1003.54
13:31:34 22/09/2024, 26.61, 79.89, 54.03, 1003.52
13:31:39 22/09/2024, 26.59, 79.86, 53.89, 1003.50
13:31:45 22/09/2024, 26.63, 79.93, 54.09, 1003.55
13:31:50 22/09/2024, 26.63, 79.93, 54.43, 1003.47
13:31:55 22/09/2024, 26.61, 79.89, 54.26, 1003.49
13:32:00 22/09/2024, 26.58, 79.84, 54.14, 1003.47
13:32:06 22/09/2024, 26.56, 79.80, 54.30, 1003.52
13:32:11 22/09/2024, 26.51, 79.72, 54.17, 1003.48
13:32:16 22/09/2024, 26.51, 79.73, 54.42, 1003.46
13:32:22 22/09/2024, 26.51, 79.73, 54.15, 1003.51
13:32:27 22/09/2024, 26.50, 79.71, 54.64, 1003.52
13:32:32 22/09/2024, 26.49, 79.69, 54.59, 1003.51
13:32:37 22/09/2024, 26.46, 79.64, 54.20, 1003.54
13:32:43 22/09/2024, 26.42, 79.56, 54.32, 1003.52
13:32:48 22/09/2024, 26.38, 79.49, 54.41, 1003.57
13:32:53 22/09/2024, 26.36, 79.45, 54.62, 1003.51
13:32:58 22/09/2024, 26.38, 79.49, 54.68, 1003.49
13:33:04 22/09/2024, 26.38, 79.48, 54.60, 1003.54
13:33:09 22/09/2024, 26.39, 79.51, 54.57, 1003.51
13:33:14 22/09/2024, 26.34, 79.42, 54.29, 1003.56
13:33:19 22/09/2024, 26.36, 79.45, 54.63, 1003.53
13:33:25 22/09/2024, 26.36, 79.45, 54.74, 1003.48
13:33:30 22/09/2024, 26.36, 79.45, 54.58, 1003.53
13:33:35 22/09/2024, 26.35, 79.43, 54.67, 1003.57
13:33:41 22/09/2024, 26.29, 79.33, 54.36, 1003.51
13:33:46 22/09/2024, 26.27, 79.29, 54.88, 1003.53
13:33:51 22/09/2024, 26.30, 79.34, 55.13, 1003.57
13:33:56 22/09/2024, 26.30, 79.34, 54.91, 1003.46
13:34:02 22/09/2024, 26.29, 79.32, 54.53, 1003.53
13:34:07 22/09/2024, 26.25, 79.25, 54.23, 1003.52
13:34:12 22/09/2024, 26.26, 79.27, 54.57, 1003.51
13:34:17 22/09/2024, 26.31, 79.36, 54.87, 1003.53
13:34:23 22/09/2024, 26.30, 79.35, 54.72, 1003.47
13:34:28 22/09/2024, 26.28, 79.31, 55.01, 1003.55
13:34:33 22/09/2024, 26.33, 79.40, 54.99, 1003.49
13:34:39 22/09/2024, 26.33, 79.40, 54.51, 1003.52
13:34:44 22/09/2024, 26.35, 79.43, 54.69, 1003.52
13:34:49 22/09/2024, 26.38, 79.48, 54.66, 1003.46
13:34:54 22/09/2024, 26.37, 79.47, 54.50, 1003.50
13:34:59 22/09/2024, 26.37, 79.47, 54.71, 1003.49
13:35:05 22/09/2024, 26.36, 79.46, 54.66, 1003.49
13:35:10 22/09/2024, 26.37, 79.47, 54.57, 1003.52
13:35:15 22/09/2024, 26.38, 79.49, 54.63, 1003.52
13:35:21 22/09/2024, 26.36, 79.46, 54.65, 1003.51
13:35:26 22/09/2024, 26.40, 79.53, 54.91, 1003.55
13:35:31 22/09/2024, 26.43, 79.57, 54.65, 1003.51
13:35:36 22/09/2024, 26.43, 79.57, 54.45, 1003.46
13:35:42 22/09/2024, 26.37, 79.47, 53.84, 1003.48
13:35:47 22/09/2024, 26.36, 79.46, 54.21, 1003.46
13:35:52 22/09/2024, 26.37, 79.47, 54.54, 1003.44
13:35:57 22/09/2024, 26.35, 79.43, 54.40, 1003.49
13:36:03 22/09/2024, 26.33, 79.39, 54.42, 1003.48
13:36:08 22/09/2024, 26.35, 79.43, 54.55, 1003.52
13:36:13 22/09/2024, 26.40, 79.53, 54.58, 1003.47
13:36:18 22/09/2024, 26.44, 79.59, 54.48, 1003.50
13:36:24 22/09/2024, 26.45, 79.61, 54.49, 1003.46
13:36:29 22/09/2024, 26.42, 79.56, 54.52, 1003.45
13:36:34 22/09/2024, 26.36, 79.46, 54.08, 1003.43
13:36:40 22/09/2024, 26.36, 79.45, 54.36, 1003.53
13:36:45 22/09/2024, 26.34, 79.42, 54.82, 1003.51
13:36:50 22/09/2024, 26.32, 79.38, 54.80, 1003.48
13:36:55 22/09/2024, 26.31, 79.37, 54.72, 1003.51
13:37:01 22/09/2024, 26.30, 79.35, 55.02, 1003.50
13:37:06 22/09/2024, 26.30, 79.34, 55.21, 1003.52
13:37:11 22/09/2024, 26.30, 79.35, 55.17, 1003.53
13:37:16 22/09/2024, 26.32, 79.38, 55.32, 1003.50
13:37:22 22/09/2024, 26.31, 79.36, 55.12, 1003.53
13:37:27 22/09/2024, 26.31, 79.36, 55.22, 1003.51
13:37:32 22/09/2024, 26.33, 79.40, 55.25, 1003.55
13:37:37 22/09/2024, 26.31, 79.37, 55.36, 1003.49
13:37:43 22/09/2024, 26.31, 79.36, 55.31, 1003.43
13:37:48 22/09/2024, 26.30, 79.35, 55.49, 1003.47
13:37:53 22/09/2024, 26.33, 79.39, 55.40, 1003.46
13:37:58 22/09/2024, 26.34, 79.41, 55.35, 1003.45
13:38:04 22/09/2024, 26.31, 79.37, 54.90, 1003.43
13:38:09 22/09/2024, 26.32, 79.38, 54.90, 1003.52
13:38:14 22/09/2024, 26.36, 79.46, 54.94, 1003.46
13:38:19 22/09/2024, 26.45, 79.62, 54.93, 1003.50
13:38:25 22/09/2024, 26.46, 79.64, 54.65, 1003.43
14:15:32 22/09/2024, 26.61, 79.89, 56.41, 1003.74
14:15:45 22/09/2024, 26.61, 79.89, 56.17, 1003.74
14:16:13 22/09/2024, 26.62, 79.92, 56.63, 1003.81
14:16:40 22/09/2024, 26.67, 80.00, 56.34, 1003.81
14:17:11 22/09/2024, 26.67, 80.00, 56.69, 1003.83
14:17:28 22/09/2024, 26.70, 80.06, 56.31, 1003.81
14:17:33 22/09/2024, 26.74, 80.12, 56.26, 1003.84
14:17:38 22/09/2024, 26.78, 80.20, 56.29, 1003.82
14:17:44 22/09/2024, 26.81, 80.25, 56.08, 1003.73
14:17:49 22/09/2024, 26.82, 80.27, 56.07, 1003.78
14:17:54 22/09/2024, 26.83, 80.29, 56.01, 1003.80
14:17:59 22/09/2024, 26.84, 80.30, 55.88, 1003.78
14:18:04 22/09/2024, 26.83, 80.29, 55.81, 1003.80
14:18:10 22/09/2024, 26.86, 80.35, 55.99, 1003.87
14:18:15 22/09/2024, 26.88, 80.38, 55.91, 1003.76
14:18:20 22/09/2024, 26.88, 80.38, 55.93, 1003.82
14:18:25 22/09/2024, 27.84, 82.11, 67.07, 1003.79
14:18:30 22/09/2024, 28.19, 82.74, 69.80, 1003.89
14:18:36 22/09/2024, 27.95, 82.30, 60.50, 1003.80
14:18:41 22/09/2024, 27.87, 82.16, 59.53, 1003.83
14:18:46 22/09/2024, 27.70, 81.85, 58.12, 1003.83
14:18:51 22/09/2024, 27.62, 81.72, 55.95, 1003.90
14:18:57 22/09/2024, 27.55, 81.59, 54.88, 1003.79
14:19:02 22/09/2024, 27.42, 81.36, 54.64, 1003.77
14:19:07 22/09/2024, 27.35, 81.22, 54.56, 1003.79
14:19:12 22/09/2024, 27.33, 81.20, 54.59, 1003.82
14:19:17 22/09/2024, 27.32, 81.18, 54.57, 1003.80
14:19:23 22/09/2024, 27.25, 81.05, 54.76, 1003.80
14:19:28 22/09/2024, 27.18, 80.92, 54.89, 1003.89
14:19:33 22/09/2024, 27.17, 80.91, 54.96, 1003.91
14:19:38 22/09/2024, 27.15, 80.86, 54.94, 1003.93
14:19:43 22/09/2024, 27.12, 80.81, 55.19, 1003.82
14:19:49 22/09/2024, 27.10, 80.78, 55.32, 1003.88
14:19:54 22/09/2024, 27.12, 80.82, 55.23, 1003.94
14:19:59 22/09/2024, 27.07, 80.72, 55.12, 1003.91
14:20:04 22/09/2024, 27.06, 80.70, 55.26, 1003.86
14:20:09 22/09/2024, 27.04, 80.67, 55.28, 1003.89
14:20:15 22/09/2024, 27.06, 80.70, 55.31, 1003.86
14:20:20 22/09/2024, 27.06, 80.70, 55.39, 1003.89
14:20:25 22/09/2024, 27.06, 80.70, 55.55, 1003.86
14:20:30 22/09/2024, 27.08, 80.74, 55.43, 1003.89
14:20:35 22/09/2024, 27.09, 80.76, 55.33, 1003.81
14:20:41 22/09/2024, 27.11, 80.80, 55.26, 1003.90
14:20:46 22/09/2024, 27.10, 80.78, 55.17, 1003.93
14:20:51 22/09/2024, 27.07, 80.72, 54.82, 1003.91
14:20:56 22/09/2024, 27.06, 80.70, 54.98, 1003.89
14:21:01 22/09/2024, 27.07, 80.72, 55.18, 1003.88
14:21:07 22/09/2024, 27.09, 80.76, 55.23, 1003.86
14:21:12 22/09/2024, 27.12, 80.81, 55.10, 1003.82
14:21:17 22/09/2024, 27.13, 80.84, 54.98, 1003.85
14:21:22 22/09/2024, 27.11, 80.79, 55.21, 1003.89
14:21:27 22/09/2024, 27.08, 80.74, 55.17, 1003.84
14:21:33 22/09/2024, 27.04, 80.67, 55.18, 1003.87
14:21:38 22/09/2024, 27.07, 80.73, 55.21, 1003.86
14:21:43 22/09/2024, 27.11, 80.79, 55.24, 1003.89
14:21:48 22/09/2024, 27.11, 80.80, 55.27, 1003.84
14:21:53 22/09/2024, 27.14, 80.84, 55.65, 1003.96
14:21:59 22/09/2024, 27.18, 80.93, 55.26, 1003.93
14:22:04 22/09/2024, 27.16, 80.88, 55.09, 1003.89
14:22:09 22/09/2024, 27.15, 80.87, 55.06, 1003.93
14:22:14 22/09/2024, 27.16, 80.89, 55.05, 1003.92
14:22:19 22/09/2024, 27.18, 80.93, 55.14, 1003.93
14:22:25 22/09/2024, 27.14, 80.84, 55.03, 1003.96
14:22:30 22/09/2024, 27.11, 80.79, 55.06, 1003.89
14:22:35 22/09/2024, 27.10, 80.77, 55.20, 1003.90
14:22:40 22/09/2024, 27.10, 80.78, 55.15, 1003.91
14:22:45 22/09/2024, 27.10, 80.78, 55.13, 1003.88
14:22:51 22/09/2024, 27.09, 80.76, 55.14, 1003.95
14:22:56 22/09/2024, 27.08, 80.74, 55.02, 1003.92
14:23:01 22/09/2024, 27.07, 80.72, 54.90, 1003.93
14:23:06 22/09/2024, 27.07, 80.72, 55.13, 1003.93
14:23:12 22/09/2024, 27.07, 80.73, 55.19, 1003.86
14:23:17 22/09/2024, 27.12, 80.81, 55.11, 1003.88
14:23:22 22/09/2024, 27.14, 80.85, 55.04, 1003.94
14:23:27 22/09/2024, 27.17, 80.90, 55.06, 1003.93
14:23:32 22/09/2024, 27.18, 80.93, 55.01, 1003.90
14:23:38 22/09/2024, 27.18, 80.92, 54.89, 1003.95
14:23:43 22/09/2024, 27.14, 80.85, 55.02, 1003.86
14:23:48 22/09/2024, 27.13, 80.84, 55.06, 1003.96
14:23:53 22/09/2024, 27.14, 80.85, 55.15, 1003.89
14:23:58 22/09/2024, 27.18, 80.92, 55.20, 1003.89
14:24:04 22/09/2024, 27.20, 80.96, 55.14, 1003.93
14:24:09 22/09/2024, 27.23, 81.02, 54.99, 1003.93
14:24:14 22/09/2024, 27.24, 81.02, 54.92, 1003.83
14:24:19 22/09/2024, 27.25, 81.04, 54.72, 1003.90
14:24:24 22/09/2024, 27.25, 81.05, 54.70, 1003.88
14:24:30 22/09/2024, 27.28, 81.10, 54.76, 1003.92
14:24:35 22/09/2024, 27.27, 81.08, 54.84, 1003.90
14:24:40 22/09/2024, 27.28, 81.10, 54.77, 1003.86
14:24:45 22/09/2024, 27.23, 81.01, 54.71, 1003.92
14:24:50 22/09/2024, 27.22, 81.00, 54.76, 1003.88
14:24:56 22/09/2024, 27.24, 81.03, 54.85, 1003.92
14:25:01 22/09/2024, 27.24, 81.03, 54.74, 1003.92
14:25:06 22/09/2024, 27.24, 81.03, 54.71, 1003.89
14:25:11 22/09/2024, 27.24, 81.03, 54.81, 1003.92
14:25:16 22/09/2024, 27.27, 81.09, 54.85, 1003.94
14:25:21 22/09/2024, 27.28, 81.11, 54.62, 1003.93
14:25:27 22/09/2024, 27.30, 81.13, 54.64, 1003.90
14:25:32 22/09/2024, 27.30, 81.13, 54.70, 1003.90
14:25:37 22/09/2024, 27.32, 81.18, 55.14, 1003.96
14:25:42 22/09/2024, 27.36, 81.25, 56.28, 1003.92
14:25:47 22/09/2024, 27.40, 81.32, 55.52, 1003.90
14:25:53 22/09/2024, 27.38, 81.29, 54.74, 1003.95
14:25:58 22/09/2024, 27.35, 81.23, 54.62, 1003.88
14:26:03 22/09/2024, 27.36, 81.24, 54.67, 1003.88
14:26:08 22/09/2024, 27.36, 81.25, 54.81, 1003.89
14:26:13 22/09/2024, 27.37, 81.27, 55.63, 1003.93
14:26:19 22/09/2024, 27.41, 81.33, 55.51, 1003.88
14:26:24 22/09/2024, 27.45, 81.41, 55.32, 1003.93
14:26:29 22/09/2024, 27.47, 81.44, 54.79, 1003.92
14:26:34 22/09/2024, 27.50, 81.49, 54.70, 1003.95
14:26:39 22/09/2024, 27.52, 81.53, 54.49, 1003.92
14:26:45 22/09/2024, 27.51, 81.51, 54.37, 1003.93
14:26:50 22/09/2024, 27.50, 81.49, 54.36, 1003.92
14:26:55 22/09/2024, 27.51, 81.51, 54.40, 1003.91
14:27:00 22/09/2024, 27.50, 81.49, 54.32, 1003.95
14:27:06 22/09/2024, 27.52, 81.53, 54.39, 1003.90
14:27:11 22/09/2024, 27.55, 81.58, 54.54, 1003.86
14:27:16 22/09/2024, 27.56, 81.61, 54.59, 1003.86
14:27:21 22/09/2024, 27.58, 81.64, 54.37, 1003.99
14:27:26 22/09/2024, 27.53, 81.55, 54.09, 1003.97
14:27:32 22/09/2024, 27.52, 81.54, 54.18, 1003.88
14:27:37 22/09/2024, 27.54, 81.57, 54.19, 1003.98
14:27:42 22/09/2024, 27.51, 81.52, 54.24, 1003.94
14:27:47 22/09/2024, 27.51, 81.52, 54.31, 1003.97
14:27:52 22/09/2024, 27.46, 81.43, 54.26, 1003.97
14:27:58 22/09/2024, 27.36, 81.24, 54.42, 1003.86
14:28:03 22/09/2024, 27.34, 81.21, 54.69, 1003.89
14:28:08 22/09/2024, 27.34, 81.21, 54.89, 1003.89
14:28:13 22/09/2024, 27.37, 81.26, 54.78, 1003.98
14:28:18 22/09/2024, 27.38, 81.29, 54.90, 1003.95
14:28:23 22/09/2024, 27.38, 81.29, 54.63, 1003.95
14:28:29 22/09/2024, 27.40, 81.32, 54.64, 1003.98
14:28:34 22/09/2024, 27.40, 81.32, 54.64, 1003.90
14:28:39 22/09/2024, 27.43, 81.37, 54.39, 1004.00
14:28:44 22/09/2024, 27.37, 81.26, 53.67, 1003.90
14:28:49 22/09/2024, 27.38, 81.29, 54.00, 1003.98
14:28:55 22/09/2024, 27.38, 81.29, 54.44, 1003.95
14:29:00 22/09/2024, 27.39, 81.30, 54.48, 1003.93
14:29:05 22/09/2024, 27.39, 81.30, 54.64, 1003.88
14:29:10 22/09/2024, 27.39, 81.30, 54.72, 1003.96
14:29:15 22/09/2024, 27.40, 81.32, 54.77, 1003.96
14:29:20 22/09/2024, 27.41, 81.33, 54.91, 1003.96
14:29:26 22/09/2024, 27.39, 81.30, 55.03, 1003.96
14:29:31 22/09/2024, 27.36, 81.24, 55.15, 1003.91
14:29:36 22/09/2024, 27.34, 81.21, 55.34, 1003.91
14:29:41 22/09/2024, 27.28, 81.11, 55.25, 1003.90
14:29:46 22/09/2024, 27.27, 81.08, 55.47, 1004.01
14:29:51 22/09/2024, 27.29, 81.12, 55.70, 1003.96
14:29:57 22/09/2024, 27.29, 81.12, 55.71, 1003.97
14:30:02 22/09/2024, 27.28, 81.10, 55.52, 1003.97
14:30:07 22/09/2024, 27.25, 81.04, 55.53, 1004.00
14:30:12 22/09/2024, 27.20, 80.96, 55.65, 1003.91
14:30:17 22/09/2024, 27.22, 81.00, 55.86, 1003.94
14:30:22 22/09/2024, 27.24, 81.02, 56.10, 1004.02
14:30:28 22/09/2024, 27.25, 81.04, 56.04, 1003.98
14:30:33 22/09/2024, 27.28, 81.10, 56.15, 1003.97
14:30:38 22/09/2024, 27.27, 81.09, 56.27, 1003.99
14:30:43 22/09/2024, 27.32, 81.17, 56.04, 1003.95
14:30:48 22/09/2024, 27.39, 81.30, 57.19, 1004.01
14:30:53 22/09/2024, 28.39, 83.10, 81.38, 1003.94
14:30:59 22/09/2024, 27.86, 82.15, 68.01, 1003.85
14:31:04 22/09/2024, 27.84, 82.11, 60.28, 1003.98
14:31:09 22/09/2024, 27.80, 82.04, 58.05, 1004.06
14:31:14 22/09/2024, 27.75, 81.95, 56.81, 1003.98
14:31:19 22/09/2024, 27.71, 81.87, 56.30, 1003.98
14:31:25 22/09/2024, 27.68, 81.82, 56.23, 1003.94
14:31:30 22/09/2024, 27.71, 81.88, 55.91, 1003.99
15:17:37 22/09/2024, 1004.29, 30.00, 60.00
15:17:43 22/09/2024, 1004.24, 29.00, 51.00
15:17:48 22/09/2024, 1004.26, 29.00, 52.00
15:17:54 22/09/2024, 1004.26, 29.00, 52.00
15:17:59 22/09/2024, 1004.24, 29.00, 52.00
15:18:05 22/09/2024, 1004.27, 29.00, 52.00
15:18:10 22/09/2024, 1004.29, 29.00, 52.00
15:18:15 22/09/2024, 1004.24, 29.00, 52.00
15:18:21 22/09/2024, 1004.32, 29.00, 51.00
15:18:26 22/09/2024, 1004.27, 29.00, 51.00
15:18:34 22/09/2024, 1004.29, 29.00, 51.00
15:18:39 22/09/2024, 1004.32, 29.00, 51.00
15:18:45 22/09/2024, 1004.25, 29.00, 51.00
15:18:50 22/09/2024, 1004.28, 29.00, 51.00
15:18:56 22/09/2024, 1004.33, 29.00, 51.00
15:19:01 22/09/2024, 1004.28, 29.00, 51.00
15:19:06 22/09/2024, 1004.26, 29.00, 51.00
15:19:12 22/09/2024, 1004.26, 29.00, 51.00
15:19:17 22/09/2024, 1004.31, 29.00, 51.00
15:19:23 22/09/2024, 1004.26, 29.00, 51.00
15:19:28 22/09/2024, 1004.27, 29.00, 51.00
15:19:33 22/09/2024, 1004.30, 29.00, 51.00
15:19:39 22/09/2024, 1004.30, 29.00, 51.00
15:19:44 22/09/2024, 1004.34, 29.00, 51.00
15:19:50 22/09/2024, 1004.30, 29.00, 51.00
15:19:55 22/09/2024, 1004.25, 29.00, 51.00
15:20:01 22/09/2024, 1004.26, 29.00, 51.00
15:20:06 22/09/2024, 1004.25, 29.00, 51.00
15:20:11 22/09/2024, 1004.27, 29.00, 51.00
15:20:17 22/09/2024, 1004.28, 29.00, 51.00
15:20:22 22/09/2024, 1004.29, 29.00, 51.00
15:20:28 22/09/2024, 1004.29, 29.00, 51.00
15:20:33 22/09/2024, 1004.31, 29.00, 51.00
15:20:38 22/09/2024, 1004.34, 29.00, 51.00
15:20:44 22/09/2024, 1004.25, 29.00, 51.00
15:20:49 22/09/2024, 1004.26, 29.00, 51.00
15:20:55 22/09/2024, 1004.31, 29.00, 51.00
15:21:00 22/09/2024, 1004.31, 29.00, 51.00
15:21:06 22/09/2024, 1004.25, 29.00, 51.00
15:21:11 22/09/2024, 1004.36, 29.00, 51.00
15:21:16 22/09/2024, 1004.27, 29.00, 51.00
15:21:22 22/09/2024, 1004.24, 29.00, 51.00
15:21:29 22/09/2024, 1004.26, 29.00, 51.00
15:21:35 22/09/2024, 1004.34, 29.00, 51.00
15:21:40 22/09/2024, 1004.34, 29.00, 51.00
15:21:46 22/09/2024, 1004.33, 29.00, 51.00
15:21:51 22/09/2024, 1004.28, 29.00, 51.00
15:21:57 22/09/2024, 1004.31, 29.00, 51.00
15:22:02 22/09/2024, 1004.29, 29.00, 51.00
15:22:07 22/09/2024, 1004.32, 29.00, 51.00
15:22:13 22/09/2024, 1004.41, 29.00, 51.00
15:22:21 22/09/2024, 1004.32, 29.00, 51.00
15:22:26 22/09/2024, 1004.39, 29.00, 51.00
15:22:34 22/09/2024, 1004.41, 29.00, 51.00
15:22:39 22/09/2024, 1004.31, 29.00, 51.00
15:22:49 22/09/2024, 1004.23, 29.00, 51.00
15:22:57 22/09/2024, 1004.35, 29.00, 51.00
15:23:02 22/09/2024, 1004.29, 29.00, 51.00
15:23:10 22/09/2024, 1004.34, 29.00, 51.00
15:23:15 22/09/2024, 1004.38, 29.00, 51.00
15:23:21 22/09/2024, 1004.32, 29.00, 51.00
15:23:26 22/09/2024, 1004.32, 29.00, 51.00
15:23:32 22/09/2024, 1004.41, 29.00, 51.00
15:23:37 22/09/2024, 1004.45, 29.00, 51.00
15:23:42 22/09/2024, 1004.32, 29.00, 51.00
15:23:48 22/09/2024, 1004.40, 29.00, 51.00
15:23:53 22/09/2024, 1004.36, 29.00, 51.00
15:23:59 22/09/2024, 1004.39, 29.00, 51.00
15:24:04 22/09/2024, 1004.38, 29.00, 51.00
15:24:12 22/09/2024, 1004.37, 29.00, 51.00
15:24:17 22/09/2024, 1004.35, 29.00, 51.00
15:24:23 22/09/2024, 1004.43, 29.00, 51.00
15:24:28 22/09/2024, 1004.37, 29.00, 51.00
15:24:34 22/09/2024, 1004.43, 29.00, 51.00
15:24:39 22/09/2024, 1004.38, 29.00, 51.00
15:24:45 22/09/2024, 1004.37, 29.00, 51.00
15:24:50 22/09/2024, 1004.41, 29.00, 51.00
15:24:55 22/09/2024, 1004.41, 29.00, 51.00
15:25:01 22/09/2024, 1004.39, 29.00, 51.00
15:25:06 22/09/2024, 1004.35, 29.00, 51.00
15:25:12 22/09/2024, 1004.35, 29.00, 51.00
15:25:17 22/09/2024, 1004.37, 29.00, 51.00
15:25:23 22/09/2024, 1004.45, 28.00, 50.00
15:25:28 22/09/2024, 1004.48, 28.00, 50.00
15:25:34 22/09/2024, 1004.46, 28.00, 50.00
15:25:39 22/09/2024, 1004.46, 28.00, 50.00
15:25:44 22/09/2024, 1004.43, 28.00, 50.00
15:25:50 22/09/2024, 1004.42, 28.00, 50.00
15:25:55 22/09/2024, 1004.39, 28.00, 50.00
15:26:01 22/09/2024, 1004.40, 28.00, 50.00
15:26:06 22/09/2024, 1004.46, 28.00, 51.00
15:26:16 22/09/2024, 1004.44, 28.00, 51.00
15:26:22 22/09/2024, 1004.46, 28.00, 51.00
15:26:27 22/09/2024, 1004.47, 28.00, 51.00
15:26:33 22/09/2024, 1004.44, 28.00, 51.00
15:26:38 22/09/2024, 1004.45, 28.00, 51.00
15:26:44 22/09/2024, 1004.44, 28.00, 51.00
15:27:03 22/09/2024, 1004.40, 28.00, 51.00
15:27:08 22/09/2024, 1004.50, 28.00, 51.00
15:27:14 22/09/2024, 1004.42, 28.00, 51.00
15:27:19 22/09/2024, 1004.52, 28.00, 51.00
15:27:25 22/09/2024, 1004.52, 28.00, 51.00
15:27:30 22/09/2024, 1004.46, 28.00, 51.00
15:27:35 22/09/2024, 1004.46, 28.00, 51.00
15:27:43 22/09/2024, 1004.46, 28.00, 51.00
15:27:51 22/09/2024, 1004.45, 28.00, 51.00
15:27:56 22/09/2024, 1004.41, 28.00, 51.00
15:28:02 22/09/2024, 1004.44, 28.00, 51.00
15:28:07 22/09/2024, 1004.41, 28.00, 51.00
15:28:13 22/09/2024, 1004.44, 28.00, 51.00
15:28:18 22/09/2024, 1004.45, 29.00, 51.00
15:28:24 22/09/2024, 1004.44, 29.00, 51.00
15:28:29 22/09/2024, 1004.48, 29.00, 51.00
15:28:34 22/09/2024, 1004.43, 29.00, 51.00
15:28:47 22/09/2024, 1004.34, 29.00, 51.00
15:28:52 22/09/2024, 1004.39, 29.00, 51.00
15:28:58 22/09/2024, 1004.48, 29.00, 51.00
15:29:03 22/09/2024, 1004.41, 29.00, 51.00
15:29:09 22/09/2024, 1004.50, 29.00, 51.00
15:29:14 22/09/2024, 1004.49, 29.00, 51.00
15:29:20 22/09/2024, 1004.49, 29.00, 50.00
15:29:27 22/09/2024, 1004.52, 29.00, 50.00
15:29:33 22/09/2024, 1004.38, 29.00, 50.00
15:29:40 22/09/2024, 1004.47, 29.00, 50.00
15:29:46 22/09/2024, 1004.40, 29.00, 50.00
15:29:54 22/09/2024, 1004.47, 29.00, 50.00
15:29:59 22/09/2024, 1004.45, 29.00, 50.00
15:30:07 22/09/2024, 1004.50, 29.00, 50.00
15:30:12 22/09/2024, 1004.51, 29.00, 50.00
15:30:20 22/09/2024, 1004.45, 29.00, 50.00
15:30:26 22/09/2024, 1004.47, 29.00, 50.00
15:30:31 22/09/2024, 1004.47, 29.00, 50.00
15:30:36 22/09/2024, 1004.48, 29.00, 50.00
15:30:44 22/09/2024, 1004.47, 29.00, 50.00
15:30:50 22/09/2024, 1004.48, 29.00, 50.00
15:30:55 22/09/2024, 1004.49, 29.00, 50.00
15:31:01 22/09/2024, 1004.49, 29.00, 50.00
15:31:06 22/09/2024, 1004.45, 29.00, 50.00
15:31:14 22/09/2024, 1004.50, 29.00, 50.00
15:31:19 22/09/2024, 1004.49, 29.00, 50.00
15:31:36 22/09/2024, 1004.49, 29.00, 50.00
15:31:42 22/09/2024, 1004.45, 29.00, 50.00
15:31:47 22/09/2024, 1004.46, 29.00, 50.00
15:31:52 22/09/2024, 1004.42, 29.00, 50.00
15:32:00 22/09/2024, 1004.46, 29.00, 50.00
15:32:06 22/09/2024, 1004.49, 29.00, 50.00
15:32:11 22/09/2024, 1004.46, 29.00, 50.00
15:32:17 22/09/2024, 1004.45, 29.00, 50.00
15:32:22 22/09/2024, 1004.48, 29.00, 50.00
15:32:27 22/09/2024, 1004.42, 29.00, 50.00
15:32:33 22/09/2024, 1004.42, 29.00, 50.00
15:32:38 22/09/2024, 1004.49, 29.00, 50.00
15:32:44 22/09/2024, 1004.44, 29.00, 50.00
15:32:54 22/09/2024, 1004.42, 29.00, 50.00
15:33:01 22/09/2024, 1004.43, 29.00, 50.00
15:33:07 22/09/2024, 1004.47, 29.00, 50.00
15:33:12 22/09/2024, 1004.47, 29.00, 50.00
15:33:18 22/09/2024, 1004.43, 29.00, 50.00
15:33:23 22/09/2024, 1004.42, 29.00, 50.00
15:33:29 22/09/2024, 1004.39, 29.00, 50.00
15:33:34 22/09/2024, 1004.41, 29.00, 50.00
15:33:40 22/09/2024, 1004.41, 29.00, 50.00
15:33:45 22/09/2024, 1004.44, 29.00, 50.00
15:33:53 22/09/2024, 1004.41, 29.00, 50.00
15:33:58 22/09/2024, 1004.42, 29.00, 50.00
